POINT_X,POINT_Y,derivative_raw,derivative_constrained,sign_violation,baseline_value
352147.7,251154.63,-5.348376785394051,-5.348376785394051,0,0.13351123
351983.15,251161.63,-5.9779796351743215,-5.9779796351743215,0,0.264167726
351915.24,251178.41,-5.827459548128799,-5.827459548128799,0,0.249434248
352070.17,251231.16,-3.7957343648525104,-3.7957343648525104,0,0.325456321
351971.75,251231.16,-3.5267733775774106,-3.5267733775774106,0,0.33148995
352168.19,251231.57,-5.065367764131702,-5.065367764131702,0,0.17412746
351877.08,251237.06,-5.718947066160063,-5.718947066160063,0,0.29148674
352247.32,251251.9,-5.152427772998519,-5.152427772998519,0,0.134923473
351781.01,251256.5,-5.909996615194914,-5.909996615194914,0,0.257280409
351681.89,251267.98,-5.927074583447662,-5.927074583447662,0,0.275612444
351598.6,251274.79,-5.774980296750675,-5.774980296750675,0,0.263504356
351676.47,251329.59,-3.7583194001181672,-3.7583194001181672,0,0.337313056
352168.6,251329.59,-4.5793898160314335,-4.5793898160314335,0,0.311913282
351774.9,251329.59,-3.546341413260615,-3.546341413260615,0,0.337292433
352070.17,251329.59,1.0700313013628142,1.0700313013628142,0,0.375536233
351873.32,251329.59,-0.5636316185796871,-0.5636316185796871,0,0.366642416
351971.75,251329.59,0.6853761639415851,0.6853761639415851,0,0.375165313
351578.17,251329.72,-4.9972411042686975,-4.9972411042686975,0,0.31697306
352266.8,251329.81,-5.445026452542315,-5.445026452542315,0,0.248708785
351482.01,251336.79,-5.689412736277634,-5.689412736277634,0,0.276578009
352346.94,251349.17,-2.0920814822737093,-2.0920814822737093,0,0.340309948
351387.42,251351.59,-4.564370921010575,-4.564370921010575,0,0.191743121
351313.37,251367.71,-5.222872062836964,-5.222872062836964,0,0.150541767
351381.2,251428.01,-4.516691098353729,-4.516691098353729,0,0.191939086
352267.02,251428.01,1.3478330082179777,1.3478330082179777,0,0.373413622
351578.05,251428.01,-0.5532764290683582,-0.5532764290683582,0,0.380236983
352070.17,251428.01,0.5470112588231417,0.5470112588231417,0,0.370599359
351873.32,251428.01,0.2291440814013659,0.2291440814013659,0,0.374473631
352168.6,251428.01,-0.8235538649209294,-0.8235538649209294,0,0.355575711
351971.75,251428.01,1.0929171597111753,1.0929171597111753,0,0.378976882
351774.9,251428.01,-0.25024395736276994,-0.25024395736276994,0,0.373898685
351676.47,251428.01,0.8139339511816159,0.8139339511816159,0,0.389226109
351479.62,251428.01,-5.145151922705251,-5.145151922705251,0,0.315380841
352365.36,251428.11,3.765001210175145,3.765001210175145,0,0.394618243
351285.9,251431.48,-4.682015676156257,-4.682015676156257,0,0.165941268
352446.64,251446.43,3.215543467459613,3.215543467459613,0,0.388734728
351212.34,251456.56,-3.9339992163668316,-3.9339992163668316,0,0.220060766
351282.77,251526.44,-4.89052680112155,-4.89052680112155,0,0.254391551
352365.45,251526.44,7.777088561909605,7.777088561909605,0,0.433276832
351578.05,251526.44,-4.685547309325277,-4.685547309325277,0,0.326167971
352070.17,251526.44,-2.966951888142597,-2.966951888142597,0,0.337348819
351873.32,251526.44,-2.639234974637782,-2.639234974637782,0,0.346032798
351381.2,251526.44,-4.665985627114999,-4.665985627114999,0,0.231178269
352267.02,251526.44,1.9517847418924652,1.9517847418924652,0,0.378857076
352168.6,251526.44,-4.604534986857825,-4.604534986857825,0,0.313553303
351971.75,251526.44,-1.0655838916891447,-1.0655838916891447,0,0.358546317
351774.9,251526.44,-3.5115076602209374,-3.5115076602209374,0,0.338856846
351676.47,251526.44,-3.93758245558798,-3.93758245558798,0,0.335999638
351479.62,251526.44,-5.652930844588736,-5.652930844588736,0,0.297924072
352463.86,251526.45,5.944940728515701,5.944940728515701,0,0.414557129
351186.78,251528.89,-5.192068388916905,-5.192068388916905,0,0.29803732
352546.15,251543.68,-3.696474296893484,-3.696474296893484,0,0.31719321
351113.04,251554.13,-4.3767115688107605,-4.3767115688107605,0,0.257600069
352611.77,251575.4,-3.2523850964535477,-3.2523850964535477,0,0.322333694
352562.3,251624.86,-4.2333092521952285,-4.2333092521952285,0,0.307749897
352463.87,251624.86,2.6341091185018852,2.6341091185018852,0,0.382864565
351578.05,251624.86,-6.003915660775006,-6.003915660775006,0,0.279539019
352365.45,251624.86,2.5220409252536125,2.5220409252536125,0,0.382601798
352070.17,251624.86,-5.179655178662735,-5.179655178662735,0,0.206135288
351873.32,251624.86,-5.9304524795950755,-5.9304524795950755,0,0.250187486
351381.2,251624.86,-4.615827962651047,-4.615827962651047,0,0.332747906
351184.35,251624.86,-2.7402544730101406,-2.7402544730101406,0,0.373613685
352267.02,251624.86,-4.234446170406043,-4.234446170406043,0,0.317641377
352168.6,251624.86,-5.000475477300632,-5.000475477300632,0,0.201716274
351971.75,251624.86,-5.559206710267369,-5.559206710267369,0,0.230797827
351774.9,251624.86,-5.991008037712186,-5.991008037712186,0,0.291109532
351676.47,251624.86,-5.973023064813718,-5.973023064813718,0,0.291009426
351479.62,251624.86,-5.4041271943439835,-5.4041271943439835,0,0.311141342
351282.77,251624.86,-3.3139983089879883,-3.3139983089879883,0,0.360441625
351088.03,251626.99,-4.979669381926757,-4.979669381926757,0,0.291908443
352622.0,251634.23,-4.709123598859581,-4.709123598859581,0,0.289588869
351014.01,251651.59,-3.3785181330007528,-3.3785181330007528,0,0.237486318
351085.92,251723.29,-5.0724868477891665,-5.0724868477891665,0,0.301380277
352562.3,251723.29,-5.037688251726932,-5.037688251726932,0,0.264645785
351184.35,251723.29,-1.0477322088763859,-1.0477322088763859,0,0.393817961
351578.05,251723.29,-4.5742095384563966,-4.5742095384563966,0,0.330072314
352365.45,251723.29,-4.208722015597017,-4.208722015597017,0,0.316277117
351381.2,251723.29,0.3837532105795836,0.3837532105795836,0,0.39892298
352463.87,251723.29,-3.5125711423434374,-3.5125711423434374,0,0.323677897
352267.02,251723.29,-4.798534081963328,-4.798534081963328,0,0.204044789
351971.75,251723.29,-5.030321928443771,-5.030321928443771,0,0.050360855
351774.9,251723.29,-5.321241708759372,-5.321241708759372,0,0.15163143
351676.47,251723.29,-6.135380327595186,-6.135380327595186,0,0.283801466
351479.62,251723.29,-3.3882447126749637,-3.3882447126749637,0,0.351259172
351282.77,251723.29,2.0344255616633378,2.0344255616633378,0,0.417765975
350989.58,251725.38,-2.9504392845805163,-2.9504392845805163,0,0.194252178
352630.96,251727.42,-3.787838937624084,-3.787838937624084,0,0.22257936
350917.82,251750.31,-3.3612271775938014,-3.3612271775938014,0,0.162500784
351085.92,251821.71,-5.127032064592026,-5.127032064592026,0,0.297709316
352562.3,251821.71,-5.073726242466416,-5.073726242466416,0,0.285686404
351184.35,251821.71,-1.938298339684539,-1.938298339684539,0,0.383709371
351578.05,251821.71,1.3857896534609828,1.3857896534609828,0,0.398495406
352365.45,251821.71,-5.662255596414864,-5.662255596414864,0,0.263195068
351381.2,251821.71,-2.1808291553410206,-2.1808291553410206,0,0.371463776
352463.87,251821.71,-2.7612793675498177,-2.7612793675498177,0,0.333418548
352267.02,251821.71,-5.156214390471483,-5.156214390471483,0,0.090780392
351676.47,251821.71,-5.493323459824809,-5.493323459824809,0,0.311083704
351479.62,251821.71,0.2654041113206561,0.2654041113206561,0,0.392747402
351282.77,251821.71,0.6060746008775533,0.6060746008775533,0,0.405228466
350987.5,251821.71,-3.1218692149105163,-3.1218692149105163,0,0.229934737
350891.82,251824.51,-2.4844725557113705,-2.4844725557113705,0,0.194146886
352641.33,251824.73,-4.805342038180334,-4.805342038180334,0,0.264450163
350817.73,251850.01,-2.23686407657295,-2.23686407657295,0,0.186534092
350987.5,251920.14,-4.290648582783827,-4.290648582783827,0,0.265915453
351085.92,251920.14,-4.760239031124288,-4.760239031124288,0,0.334606171
352562.3,251920.14,-4.559062774783525,-4.559062774783525,0,0.304582596
351184.35,251920.14,-0.2248543781237005,-0.2248543781237005,0,0.401547194
351578.05,251920.14,4.589774691370333,4.589774691370333,0,0.425833941
352365.45,251920.14,-5.665079261156162,-5.665079261156162,0,0.260508001
351381.2,251920.14,-2.7227028455515963,-2.7227028455515963,0,0.364790827
352463.87,251920.14,1.2625378211883722,1.2625378211883722,0,0.370373487
351676.47,251920.14,-3.81238010974908,-3.81238010974908,0,0.339904249
351479.62,251920.14,3.0534630757667602,3.0534630757667602,0,0.417363852
