grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,1.25,-88.75,88.75,1.0,0,-179.0364183510706,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
1,3.75,-88.75,88.75,1.0,0,-178.90064722527995,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
2,6.25,-88.75,88.75,1.0,0,-178.76410819608336,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
3,8.75,-88.75,88.75,1.0,0,-178.62833411475123,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
4,11.25,-88.75,88.75,1.0,0,-178.47434247894557,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
5,13.75,-88.75,88.75,1.0,0,-178.23273045826429,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
6,16.25,-88.75,88.75,1.0,0,-177.9588502390527,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
7,18.75,-88.75,88.75,1.0,0,-177.73685750554947,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
8,21.25,-88.75,88.75,1.0,0,-177.54847142782526,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
9,23.75,-88.75,88.75,1.0,0,-177.38720553279538,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
10,26.25,-88.75,88.75,1.0,0,-177.2897653614499,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
11,28.75,-88.75,88.75,1.0,0,-177.19951790325305,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
12,31.25,-88.75,88.75,1.0,0,-177.1143842034799,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
13,33.75,-88.75,88.75,1.0,0,-177.0346411426272,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
14,36.25,-88.75,88.75,1.0,0,-176.9868670989043,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
15,38.75,-88.75,88.75,1.0,0,-176.96226127592777,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
16,41.25,-88.75,88.75,1.0,0,-176.94053374729583,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
17,43.75,-88.75,88.75,1.0,0,-176.91812429464545,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
18,46.25,-88.75,88.75,1.0,0,-176.90345674848254,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
19,48.75,-88.75,88.75,1.0,0,-176.95806104849797,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
20,51.25,-88.75,88.75,1.0,0,-177.0468426924781,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
21,53.75,-88.75,88.75,1.0,0,-177.16343275728204,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
22,56.25,-88.75,88.75,1.0,0,-177.2924497991439,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
23,58.75,-88.75,88.75,1.0,0,-177.4233565067351,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
24,61.25,-88.75,88.75,1.0,0,-177.5107206999039,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
25,63.75,-88.75,88.75,1.0,0,-177.58908580672664,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
26,66.25,-88.75,88.75,1.0,0,-177.66723609942306,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
27,68.75,-88.75,88.75,1.0,0,-177.7451264388144,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
28,71.25,-88.75,88.75,1.0,0,-177.82374370706,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
29,73.75,-88.75,88.75,1.0,0,-177.90361775213614,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
30,76.25,-88.75,88.75,1.0,0,-177.98417896059942,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
31,78.75,-88.75,88.75,1.0,0,-178.06466023510092,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
32,81.25,-88.75,88.75,1.0,0,-178.66578579561485,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
33,83.75,-88.75,88.75,1.0,0,-178.7809015826062,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
34,86.25,-88.75,88.75,1.0,0,-178.89270205814648,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
35,88.75,-88.75,88.75,1.0,0,-179.00592858243687,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
36,91.25,-88.75,88.75,1.0,0,-179.11769197936636,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
37,93.75,-88.75,88.75,1.0,0,-179.2292530560493,1.1639537084675782,1.2,-0.1,0.0,0.0,7.006522659154977e-17,-0.0025988925882629564,-0.08952120365097305
