grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tas_trend_forced
0,1.25,-88.75,88.75,1.0,0,0.9725192006668821
1,3.75,-88.75,88.75,1.0,0,0.9722391860420573
2,6.25,-88.75,88.75,1.0,0,0.9713178900702988
3,8.75,-88.75,88.75,1.0,0,0.9716809883208422
4,11.25,-88.75,88.75,1.0,0,0.9720959334873535
5,13.75,-88.75,88.75,1.0,0,0.971877779536776
6,16.25,-88.75,88.75,1.0,0,0.9712930476451952
7,18.75,-88.75,88.75,1.0,0,0.9719120802704962
8,21.25,-88.75,88.75,1.0,0,0.9724310964329203
9,23.75,-88.75,88.75,1.0,0,0.9734753713084346
10,26.25,-88.75,88.75,1.0,0,0.9739521073804891
11,28.75,-88.75,88.75,1.0,0,0.974525279085999
12,31.25,-88.75,88.75,1.0,0,0.9759713751825512
13,33.75,-88.75,88.75,1.0,0,0.9769550930124153
14,36.25,-88.75,88.75,1.0,0,0.9789733098011896
15,38.75,-88.75,88.75,1.0,0,0.979908843727052
16,41.25,-88.75,88.75,1.0,0,0.9814096127594794
17,43.75,-88.75,88.75,1.0,0,0.9819279404150187
18,46.25,-88.75,88.75,1.0,0,0.9823882122992008
19,48.75,-88.75,88.75,1.0,0,0.9812143618209841
20,51.25,-88.75,88.75,1.0,0,0.9845502276930646
21,53.75,-88.75,88.75,1.0,0,0.990048383524825
22,56.25,-88.75,88.75,1.0,0,0.9896988782010959
23,58.75,-88.75,88.75,1.0,0,0.9932438257920934
24,61.25,-88.75,88.75,1.0,0,0.9920304360543729
25,63.75,-88.75,88.75,1.0,0,0.9914315647265075
26,66.25,-88.75,88.75,1.0,0,0.995401393883032
27,68.75,-88.75,88.75,1.0,0,0.9973145187591864
28,71.25,-88.75,88.75,1.0,0,1.0000357577476013
29,73.75,-88.75,88.75,1.0,0,1.0044439431424474
30,76.25,-88.75,88.75,1.0,0,1.011382395413745
31,78.75,-88.75,88.75,1.0,0,1.0159687711038434
32,81.25,-88.75,88.75,1.0,0,1.02653141010122
33,83.75,-88.75,88.75,1.0,0,1.0268183007242446
34,86.25,-88.75,88.75,1.0,0,1.0228449524132022
35,88.75,-88.75,88.75,1.0,0,1.0175829689400233
36,91.25,-88.75,88.75,1.0,0,1.01900532052153
37,93.75,-88.75,88.75,1.0,0,1.0256869885510056
38,96.25,-88.75,88.75,1.0,0,1.0390646811549475
39,98.75,-88.75,88.75,1.0,0,1.0430115790482621
40,101.25,-88.75,88.75,1.0,0,1.0454926443806905
41,103.75,-88.75,88.75,1.0,0,1.048203043807754
42,106.25,-88.75,88.75,1.0,0,1.0496651748168644
43,108.75,-88.75,88.75,1.0,0,1.0515277476600775
44,111.25,-88.75,88.75,1.0,0,1.0504364927888088
45,113.75,-88.75,88.75,1.0,0,1.0586947079726827
46,116.25,-88.75,88.75,1.0,0,1.0539135773160881
47,118.75,-88.75,88.75,1.0,0,1.055222103116756
48,121.25,-88.75,88.75,1.0,0,1.057753479718541
