grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tos_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,201.25,-78.75,78.75,0.0,4,0.5851671887684178,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
1,163.75,-76.25,76.25,0.0,4,0.11018402855941889,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
2,166.25,-76.25,76.25,0.0,4,0.05724900600229677,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
3,168.75,-76.25,76.25,0.0,4,0.09049061086908225,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
4,171.25,-76.25,76.25,0.0,4,0.09750230087210086,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
5,173.75,-76.25,76.25,0.0,4,0.07329569738493993,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
6,176.25,-76.25,76.25,0.0,4,0.06837407149749931,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
7,178.75,-76.25,76.25,0.0,4,0.06274778630359083,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
8,181.25,-76.25,76.25,0.0,4,0.0853414731312391,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
9,183.75,-76.25,76.25,0.0,4,0.30262938069693807,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
10,186.25,-76.25,76.25,0.0,4,0.4147647694669968,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
11,188.75,-76.25,76.25,0.0,4,0.4762242448886195,0.8201975651949048,1.2,-0.1,0.0,0.0,2.001863616901422e-17,-0.0180617111891349,-0.026760523287092084
