grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tos_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,193.75,-78.75,78.75,0.0,0,0.28280742930369424,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
1,196.25,-78.75,78.75,0.0,0,0.3595423490881601,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
2,163.75,-76.25,76.25,0.0,4,0.1463695593843003,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
3,166.25,-76.25,76.25,0.0,4,0.19072368508468207,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
4,168.75,-76.25,76.25,0.0,4,0.043763148550228365,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
5,171.25,-76.25,76.25,0.0,4,-0.0012351035050232645,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
6,173.75,-76.25,76.25,0.0,4,0.004767255024328383,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
7,176.25,-76.25,76.25,0.0,4,0.0002335565024005255,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
8,178.75,-76.25,76.25,0.0,4,0.006939438610905399,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
9,181.25,-76.25,76.25,0.0,4,0.05013517050040822,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
10,183.75,-76.25,76.25,0.0,4,0.13204023283796593,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
11,186.25,-76.25,76.25,0.0,4,0.2086869928723768,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
12,188.75,-76.25,76.25,0.0,4,0.28544649470449235,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
13,191.25,-76.25,76.25,0.0,4,0.4174113476396249,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
14,193.75,-76.25,76.25,0.0,4,0.5247854267998843,1.710534675156125,1.2,-0.1,0.0,0.0,2.552376111549313e-16,0.03920988834810359,-0.04837002195948048
