grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tos_trend,GMST_trend,GHG_forcing_index,aerosol_forcing_index,volcanic_forcing_index,solar_forcing_index,ENSO_detrended,AMV_index,IPO_index
0,161.25,-76.25,76.25,0.0,0,-0.05725531357541169,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
1,163.75,-76.25,76.25,0.0,4,-0.07055609228982876,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
2,166.25,-76.25,76.25,0.0,4,-0.11601767203931466,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
3,168.75,-76.25,76.25,0.0,4,-0.1681319054354077,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
4,171.25,-76.25,76.25,0.0,4,-0.21384173584115912,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
5,173.75,-76.25,76.25,0.0,4,-0.24308022412377592,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
6,176.25,-76.25,76.25,0.0,4,-0.2576584035804473,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
7,178.75,-76.25,76.25,0.0,4,-0.25721393286503996,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
8,181.25,-76.25,76.25,0.0,4,-0.2495245156831934,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
9,183.75,-76.25,76.25,0.0,4,-0.2324629490162929,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
10,186.25,-76.25,76.25,0.0,4,-0.1890633068348384,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
11,188.75,-76.25,76.25,0.0,4,-0.15259266301858695,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
12,191.25,-76.25,76.25,0.0,4,-0.12522534325167772,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
13,193.75,-76.25,76.25,0.0,4,-0.09800786877313221,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
14,196.25,-76.25,76.25,0.0,4,-0.05705696060926959,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
15,198.75,-76.25,76.25,0.0,4,-0.0301912565883077,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
16,201.25,-76.25,76.25,0.0,4,-0.010466958529214527,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
17,203.75,-76.25,76.25,0.0,4,-0.004601115235463735,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
18,206.25,-76.25,76.25,0.0,4,-0.003498639680432351,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
19,208.75,-76.25,76.25,0.0,4,-0.001684536451044067,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
20,211.25,-76.25,76.25,0.0,4,-0.011320304678520576,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
21,213.75,-76.25,76.25,0.0,0,-0.03422338311127117,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
22,216.25,-76.25,76.25,0.0,0,-0.0602679766096278,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
23,296.25,-76.25,76.25,0.0,0,-0.41264028415784476,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
24,298.75,-76.25,76.25,0.0,0,-0.34628193186491674,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
25,301.25,-76.25,76.25,0.0,0,-0.19894448709504625,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
26,303.75,-76.25,76.25,0.0,0,-0.0682475179180974,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
27,306.25,-76.25,76.25,0.0,4,-0.016196388046383278,0.8276770978880817,1.2,-0.1,0.0,0.0,-4.3373711699530815e-17,0.001244221132221771,-0.0989444886824721
