grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tos_trend_forced
0,193.75,-78.75,78.75,0.0,0,0.18618578368244926
1,196.25,-78.75,78.75,0.0,0,0.21157352365422177
2,163.75,-76.25,76.25,0.0,4,0.1353280679333942
3,166.25,-76.25,76.25,0.0,4,0.12940484113778955
4,168.75,-76.25,76.25,0.0,4,0.14159828375159705
5,171.25,-76.25,76.25,0.0,4,0.10370514428590696
6,173.75,-76.25,76.25,0.0,4,0.08161111309707582
7,176.25,-76.25,76.25,0.0,4,0.0905527544630016
8,178.75,-76.25,76.25,0.0,4,0.11609665976948731
9,181.25,-76.25,76.25,0.0,4,0.14570018581198874
10,183.75,-76.25,76.25,0.0,4,0.16896046595561792
11,186.25,-76.25,76.25,0.0,4,0.18626619077902168
12,188.75,-76.25,76.25,0.0,4,0.19639924968728542
13,191.25,-76.25,76.25,0.0,4,0.20450487495238145
14,193.75,-76.25,76.25,0.0,4,0.20129198646636773
15,196.25,-76.25,76.25,0.0,4,0.21197931740004192
16,198.75,-76.25,76.25,0.0,4,0.2726263824026754
17,201.25,-76.25,76.25,0.0,4,0.3885142365404279
18,203.75,-76.25,76.25,0.0,4,0.4516219786923187
19,206.25,-76.25,76.25,0.0,4,0.47136803405223704
20,208.75,-76.25,76.25,0.0,4,0.4851668516861857
21,211.25,-76.25,76.25,0.0,4,0.5187940042608338
22,306.25,-76.25,76.25,0.0,4,0.059886193790686
23,308.75,-76.25,76.25,0.0,4,0.07112006655686319
24,311.25,-76.25,76.25,0.0,4,0.09183474189349032
25,313.75,-76.25,76.25,0.0,4,0.11612642371951508
26,316.25,-76.25,76.25,0.0,4,0.10840053676726193
27,318.75,-76.25,76.25,0.0,4,0.09477833079733734
28,321.25,-76.25,76.25,0.0,4,0.08257301546211855
29,323.75,-76.25,76.25,0.0,4,0.07632643629541815
30,326.25,-76.25,76.25,0.0,4,0.056939270390626254
31,328.75,-76.25,76.25,0.0,4,0.036437690987764317
32,331.25,-76.25,76.25,0.0,4,0.03444155906575873
33,166.25,-73.75,73.75,0.0,4,0.11347136584655845
34,168.75,-73.75,73.75,0.0,4,0.10525280094920092
35,171.25,-73.75,73.75,0.0,4,0.06853763412933615
36,173.75,-73.75,73.75,0.0,4,0.07472569098526995
37,176.25,-73.75,73.75,0.0,4,0.08200154577280552
38,178.75,-73.75,73.75,0.0,4,0.09054499848053398
39,181.25,-73.75,73.75,0.0,4,0.11834948372438439
40,183.75,-73.75,73.75,0.0,4,0.14401721632886155
41,186.25,-73.75,73.75,0.0,4,0.16757785509767065
42,188.75,-73.75,73.75,0.0,4,0.19901670400812685
43,191.25,-73.75,73.75,0.0,4,0.2177620492794772
44,193.75,-73.75,73.75,0.0,4,0.24279521050099354
45,196.25,-73.75,73.75,0.0,4,0.2574976298271476
46,198.75,-73.75,73.75,0.0,4,0.2731723327733412
47,201.25,-73.75,73.75,0.0,4,0.27765878706153513
48,203.75,-73.75,73.75,0.0,4,0.2775693177597507
49,206.25,-73.75,73.75,0.0,4,0.28022289326916433
50,208.75,-73.75,73.75,0.0,4,0.28908074365148273
51,211.25,-73.75,73.75,0.0,4,0.31535345753450095
52,213.75,-73.75,73.75,0.0,4,0.3648704359558044
53,216.25,-73.75,73.75,0.0,4,0.40839297552397325
54,218.75,-73.75,73.75,0.0,4,0.45372410935580887
55,221.25,-73.75,73.75,0.0,4,0.47344930805733676
56,223.75,-73.75,73.75,0.0,4,0.45143845057158183
57,226.25,-73.75,73.75,0.0,4,0.42409425342925805
58,228.75,-73.75,73.75,0.0,4,0.3997802332076106
59,231.25,-73.75,73.75,0.0,4,0.39856647722545196
60,233.75,-73.75,73.75,0.0,4,0.4304055832649714
61,236.25,-73.75,73.75,0.0,4,0.5142617804324796
62,238.75,-73.75,73.75,0.0,4,0.3183953027766942
63,241.25,-73.75,73.75,0.0,4,0.3361933480239464
64,243.75,-73.75,73.75,0.0,4,0.2624536867375863
65,246.25,-73.75,73.75,0.0,4,0.2708156489344093
66,248.75,-73.75,73.75,0.0,4,0.2762710220619708
67,251.25,-73.75,73.75,0.0,4,0.31321705257551496
68,253.75,-73.75,73.75,0.0,4,0.41864068390261633
69,256.25,-73.75,73.75,0.0,0,0.5283863475457781
70,276.25,-73.75,73.75,0.0,0,0.41727346820835987
71,278.75,-73.75,73.75,0.0,0,0.41990947412002116
72,298.75,-73.75,73.75,0.0,4,0.05768323198913639
73,301.25,-73.75,73.75,0.0,4,0.060890176644845716
74,303.75,-73.75,73.75,0.0,4,0.0677720594078264
75,306.25,-73.75,73.75,0.0,4,0.06687538692695966
76,308.75,-73.75,73.75,0.0,4,0.09170684578717937
77,311.25,-73.75,73.75,0.0,4,0.12182810039928083
78,313.75,-73.75,73.75,0.0,4,0.16834678599035777
79,316.25,-73.75,73.75,0.0,4,0.17609850849705025
80,318.75,-73.75,73.75,0.0,4,0.15624185917575042
81,321.25,-73.75,73.75,0.0,4,0.11965809194415364
82,323.75,-73.75,73.75,0.0,4,0.07619740970876827
83,326.25,-73.75,73.75,0.0,4,0.04444943247982034
84,328.75,-73.75,73.75,0.0,4,0.015094199453034524
85,331.25,-73.75,73.75,0.0,4,0.005353661070491971
86,333.75,-73.75,73.75,0.0,4,0.025739272179510855
87,336.25,-73.75,73.75,0.0,4,0.031908498428165497
88,338.75,-73.75,73.75,0.0,4,0.04013391109174042
89,168.75,-71.25,71.25,0.0,4,0.06864686560280939
90,171.25,-71.25,71.25,0.0,4,0.07050776974727518
91,173.75,-71.25,71.25,0.0,4,0.10174309763850406
92,176.25,-71.25,71.25,0.0,4,0.08710208174987605
93,178.75,-71.25,71.25,0.0,4,0.07302262429262063
94,181.25,-71.25,71.25,0.0,4,0.07119525964022191
95,183.75,-71.25,71.25,0.0,4,0.08030823037829038
96,186.25,-71.25,71.25,0.0,4,0.10591887444396733
97,188.75,-71.25,71.25,0.0,4,0.13582234465218418
98,191.25,-71.25,71.25,0.0,4,0.1431011225377074
99,193.75,-71.25,71.25,0.0,4,0.14526336454074612
100,196.25,-71.25,71.25,0.0,4,0.1438911973665035
101,198.75,-71.25,71.25,0.0,4,0.14551492910169633
102,201.25,-71.25,71.25,0.0,4,0.14841655552178815
103,203.75,-71.25,71.25,0.0,4,0.15420749037863482
104,206.25,-71.25,71.25,0.0,4,0.1641569068831215
