grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tas_trend,GMST_trend,AMV_index,IPO_index,member,tas_trend_forced,row_id,member_id
0,1.25,-88.75,88.75,1.0,0,0.397660598185833,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.6987804462812583,1A_0,0
1,3.75,-88.75,88.75,1.0,0,0.42938954222762,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.6985882375556872,1A_1,0
2,6.25,-88.75,88.75,1.0,0,0.460355420069055,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.699428189986389,1A_2,0
3,8.75,-88.75,88.75,1.0,0,0.4795515121183291,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.7017659036991684,1A_3,0
4,11.25,-88.75,88.75,1.0,0,0.5061158604655629,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.7059336128615562,1A_4,0
5,13.75,-88.75,88.75,1.0,0,0.5292319672290537,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.7084257142652808,1A_5,0
6,16.25,-88.75,88.75,1.0,0,0.5515715282394987,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.7103170722568825,1A_6,0
7,18.75,-88.75,88.75,1.0,0,0.5708740139500478,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.7105018341879421,1A_7,0
8,21.25,-88.75,88.75,1.0,0,0.5782818447426775,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.7135540019986385,1A_8,0
9,23.75,-88.75,88.75,1.0,0,0.5927987783070174,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.7144119471078926,1A_9,0
10,26.25,-88.75,88.75,1.0,0,0.6157433609578297,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.7164347797988221,1A_10,0
11,28.75,-88.75,88.75,1.0,0,0.641001215383362,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.7194424270156343,1A_11,0
12,31.25,-88.75,88.75,1.0,0,0.6588428413466049,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.7183612443406548,1A_12,0
13,33.75,-88.75,88.75,1.0,0,0.6702464016360057,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.7223263775228055,1A_13,0
