grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tos_trend,GMST_trend,AMV_index,IPO_index,member,tos_trend_forced,row_id,member_id
0,201.25,-78.75,78.75,0.0,4,0.5851671887684178,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0910056011796947,1A_0,0
1,163.75,-76.25,76.25,0.0,4,0.1101840285594188,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0558303616963382,1A_1,0
2,166.25,-76.25,76.25,0.0,4,0.0572490060022967,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0540423821001395,1A_2,0
3,168.75,-76.25,76.25,0.0,4,0.0904906108690822,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0573173877877408,1A_3,0
4,171.25,-76.25,76.25,0.0,4,0.0975023008721008,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0483146575846314,1A_4,0
5,173.75,-76.25,76.25,0.0,4,0.0732956973849399,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0290354080409226,1A_5,0
6,176.25,-76.25,76.25,0.0,4,0.0683740714974993,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0203648749974262,1A_6,0
7,178.75,-76.25,76.25,0.0,4,0.0627477863035908,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0061485004630204,1A_7,0
8,181.25,-76.25,76.25,0.0,4,0.0853414731312391,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0012280163866454,1A_8,0
9,183.75,-76.25,76.25,0.0,4,0.302629380696938,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0311070732489788,1A_9,0
10,186.25,-76.25,76.25,0.0,4,0.4147647694669968,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0521572193073944,1A_10,0
11,188.75,-76.25,76.25,0.0,4,0.4762242448886195,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0697698263930697,1A_11,0
12,191.25,-76.25,76.25,0.0,4,0.4948252133664306,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0759838770870545,1A_12,0
13,193.75,-76.25,76.25,0.0,4,0.4764705401481827,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0764946667273474,1A_13,0
14,196.25,-76.25,76.25,0.0,4,0.4671663607941823,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0742495164070525,1A_14,0
15,198.75,-76.25,76.25,0.0,4,0.4842690906477861,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0732849041840752,1A_15,0
16,201.25,-76.25,76.25,0.0,4,0.4751243743053196,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0688178095113444,1A_16,0
17,203.75,-76.25,76.25,0.0,4,0.4100662639516484,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0650329054444813,1A_17,0
18,206.25,-76.25,76.25,0.0,4,0.3052720683269409,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0495950471710508,1A_18,0
19,208.75,-76.25,76.25,0.0,4,0.2075863149336269,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.047880377023895,1A_19,0
20,211.25,-76.25,76.25,0.0,4,0.2123664977620057,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0567884157215024,1A_20,0
21,213.75,-76.25,76.25,0.0,4,0.2391516745599738,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.056169663208631,1A_21,0
22,296.25,-76.25,76.25,0.0,4,0.053013432464377,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0208227163491989,1A_22,0
23,298.75,-76.25,76.25,0.0,4,0.0419996954909544,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0210815086193318,1A_23,0
24,301.25,-76.25,76.25,0.0,4,0.0179194370572759,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.019993173727842,1A_24,0
25,303.75,-76.25,76.25,0.0,4,0.0520665680952149,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0182699248037971,1A_25,0
26,306.25,-76.25,76.25,0.0,4,0.0985027219681411,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0302925441159784,1A_26,0
27,308.75,-76.25,76.25,0.0,4,0.143247605360344,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0469145841684854,1A_27,0
28,311.25,-76.25,76.25,0.0,4,0.2060246635217218,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0591445001261267,1A_28,0
29,313.75,-76.25,76.25,0.0,4,0.2512141022738993,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0737021078756961,1A_29,0
30,316.25,-76.25,76.25,0.0,4,0.2991488867805305,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0948605897772826,1A_30,0
31,318.75,-76.25,76.25,0.0,4,0.3024084924215517,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.099223837464124,1A_31,0
32,321.25,-76.25,76.25,0.0,4,0.3252141196640186,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.1061842186329168,1A_32,0
33,323.75,-76.25,76.25,0.0,4,0.3395720235126447,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.115108704222638,1A_33,0
34,326.25,-76.25,76.25,0.0,4,0.3696922358041019,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.129232075110301,1A_34,0
35,328.75,-76.25,76.25,0.0,4,0.4241881268459433,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.16107520582916,1A_35,0
36,331.25,-76.25,76.25,0.0,4,0.384583183290187,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.1624494290291,1A_36,0
37,333.75,-76.25,76.25,0.0,4,0.3463547759818265,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.1679448510622451,1A_37,0
38,336.25,-76.25,76.25,0.0,4,0.3533836617607223,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.1566765119715527,1A_38,0
39,166.25,-73.75,73.75,0.0,4,0.1177050733104104,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0528534418755567,1A_39,0
40,168.75,-73.75,73.75,0.0,4,0.1711298928550372,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.064422323113529,1A_40,0
41,171.25,-73.75,73.75,0.0,4,0.147319884390956,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0544352813405277,1A_41,0
42,173.75,-73.75,73.75,0.0,4,0.0925462206871054,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0369640912846803,1A_42,0
43,176.25,-73.75,73.75,0.0,4,0.0851255791552389,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0231466202815696,1A_43,0
44,178.75,-73.75,73.75,0.0,4,0.1077979443541799,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0134439644506479,1A_44,0
45,181.25,-73.75,73.75,0.0,4,0.1674450713352816,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0136729761945245,1A_45,0
46,183.75,-73.75,73.75,0.0,4,0.2072939129275957,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.00641523273017,1A_46,0
47,186.25,-73.75,73.75,0.0,4,0.3412296335338208,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,0.0007384220095421,1A_47,0
48,188.75,-73.75,73.75,0.0,4,0.4366973001001378,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0080331529150824,1A_48,0
49,191.25,-73.75,73.75,0.0,4,0.4833072154739002,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0187659949302343,1A_49,0
50,193.75,-73.75,73.75,0.0,4,0.5395697577085236,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0406322138491335,1A_50,0
51,196.25,-73.75,73.75,0.0,4,0.5556605149595423,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0497315166398304,1A_51,0
52,198.75,-73.75,73.75,0.0,4,0.551789831526659,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0625686163154131,1A_52,0
53,201.25,-73.75,73.75,0.0,4,0.5472479158631404,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0624341112049334,1A_53,0
54,203.75,-73.75,73.75,0.0,4,0.5114668843178255,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0578333213217284,1A_54,0
55,206.25,-73.75,73.75,0.0,4,0.450580695076316,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0585569464278571,1A_55,0
56,208.75,-73.75,73.75,0.0,4,0.3901030035960191,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0640762032082203,1A_56,0
57,211.25,-73.75,73.75,0.0,4,0.3360999812702023,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0748039188282997,1A_57,0
58,213.75,-73.75,73.75,0.0,4,0.3111348009654205,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0777084936008224,1A_58,0
59,216.25,-73.75,73.75,0.0,4,0.2988849916239729,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0773143858951729,1A_59,0
60,218.75,-73.75,73.75,0.0,4,0.2621023777813665,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0661853351090899,1A_60,0
61,221.25,-73.75,73.75,0.0,4,0.2420591054044394,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0569615065999566,1A_61,0
62,223.75,-73.75,73.75,0.0,4,0.1658879389243772,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0423414474516704,1A_62,0
63,226.25,-73.75,73.75,0.0,4,0.0423187725397591,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0345115246527177,1A_63,0
64,228.75,-73.75,73.75,0.0,4,-0.0509277507528543,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-0.0241649564813205,1A_64,0
