grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,tas_trend_forced
0,1.25,-88.75,88.75,1.0,0,1.0949120929479204
1,3.75,-88.75,88.75,1.0,0,1.1117006789051718
2,6.25,-88.75,88.75,1.0,0,1.144781200331622
3,8.75,-88.75,88.75,1.0,0,1.1408433708684342
4,11.25,-88.75,88.75,1.0,0,1.145099663008333
5,13.75,-88.75,88.75,1.0,0,1.1380114774656744
6,16.25,-88.75,88.75,1.0,0,1.1058316943929605
7,18.75,-88.75,88.75,1.0,0,1.1155094759884965
8,21.25,-88.75,88.75,1.0,0,1.1419188602075725
9,23.75,-88.75,88.75,1.0,0,1.1308546119200582
10,26.25,-88.75,88.75,1.0,0,1.1316300672401622
11,28.75,-88.75,88.75,1.0,0,1.1289247138733427
12,31.25,-88.75,88.75,1.0,0,1.1132032734339534
13,33.75,-88.75,88.75,1.0,0,1.108814773692337
14,36.25,-88.75,88.75,1.0,0,1.0733633992603886
15,38.75,-88.75,88.75,1.0,0,1.0880782286645356
16,41.25,-88.75,88.75,1.0,0,1.1389363497951515
17,43.75,-88.75,88.75,1.0,0,1.1317859674896744
18,46.25,-88.75,88.75,1.0,0,1.1325928705656514
19,48.75,-88.75,88.75,1.0,0,1.0685131725023906
20,51.25,-88.75,88.75,1.0,0,1.0617193268936234
21,53.75,-88.75,88.75,1.0,0,1.0992532382670601
22,56.25,-88.75,88.75,1.0,0,1.069225673144079
23,58.75,-88.75,88.75,1.0,0,1.063383296804424
24,61.25,-88.75,88.75,1.0,0,1.0753082536489134
25,63.75,-88.75,88.75,1.0,0,1.0930868233084203
26,66.25,-88.75,88.75,1.0,0,1.0940982119380946
27,68.75,-88.75,88.75,1.0,0,1.1016660616199647
28,71.25,-88.75,88.75,1.0,0,1.1205298204669134
29,73.75,-88.75,88.75,1.0,0,1.1115216135030292
30,76.25,-88.75,88.75,1.0,0,1.104588031492556
31,78.75,-88.75,88.75,1.0,0,1.1035389229236325
32,81.25,-88.75,88.75,1.0,0,1.1141635778770007
33,83.75,-88.75,88.75,1.0,0,1.1206265848830832
34,86.25,-88.75,88.75,1.0,0,1.1192005553885074
35,88.75,-88.75,88.75,1.0,0,1.1386076623032166
36,91.25,-88.75,88.75,1.0,0,1.1454401512150105
37,93.75,-88.75,88.75,1.0,0,1.1339542564452298
38,96.25,-88.75,88.75,1.0,0,1.1201759800911966
39,98.75,-88.75,88.75,1.0,0,1.1248160534459182
40,101.25,-88.75,88.75,1.0,0,1.132126626572435
41,103.75,-88.75,88.75,1.0,0,1.1304431283348388
42,106.25,-88.75,88.75,1.0,0,1.1300363991425177
43,108.75,-88.75,88.75,1.0,0,1.1380397457832625
44,111.25,-88.75,88.75,1.0,0,1.1446939257309732
45,113.75,-88.75,88.75,1.0,0,1.1320886978244977
46,116.25,-88.75,88.75,1.0,0,1.1116454576878192
47,118.75,-88.75,88.75,1.0,0,1.1127495918337136
48,121.25,-88.75,88.75,1.0,0,1.1229971589407943
49,123.75,-88.75,88.75,1.0,0,1.1362983706387249
50,126.25,-88.75,88.75,1.0,0,1.1388689459332257
51,128.75,-88.75,88.75,1.0,0,1.1316540423892971
52,131.25,-88.75,88.75,1.0,0,1.1397708728913643
53,133.75,-88.75,88.75,1.0,0,1.130045514490124
54,136.25,-88.75,88.75,1.0,0,1.1193811948850438
55,138.75,-88.75,88.75,1.0,0,1.1093230260891414
56,141.25,-88.75,88.75,1.0,0,1.0987608964561826
