Distance_from_water_m,Pct_Impervious,Pct_Canopy,NDVI,Albedo,Elevation_m,POINT_X,POINT_Y,Pct_Impervious_sign_violation,Pct_Canopy_sign_violation,NDVI_sign_violation,Albedo_sign_violation
2.3739534336212484,0.16732449820384998,0.15893556841469247,-0.46686033799949933,0.39434328830197285,-0.886788805565303,352147.7,251154.63,0,1,0,1
2.7137652108044974,0.2139106253935541,0.13267256567730512,-0.3589256143999858,0.31319824499387416,-0.9925962306964813,351983.15,251161.63,0,1,0,1
2.7792702292084415,0.21318825693444343,0.13163267375110754,-0.34088883554493155,0.30050958735849764,-1.0085404797002018,351915.24,251178.41,0,1,0,1
2.465029013033201,0.18878087394192677,0.14310283597448925,-0.42076183000000245,0.3594151604062263,-0.9180648755710177,352070.17,251231.16,0,1,0,1
2.714571459932309,0.21383720168329878,0.13265654538812366,-0.35886165693322103,0.3130965542956601,-0.9924460835367779,351971.75,251231.16,0,1,0,1
2.2584580688561466,0.16749848669872547,0.15538976087016354,-0.4707174408239529,0.40292818598701896,-0.8728941534401174,352168.19,251231.57,0,1,0,1
2.7898525459498025,0.22275707582466575,0.12561052213780166,-0.3145531563663715,0.2753913403292106,-0.9989774818677362,351877.08,251237.06,0,1,0,1
2.1577812137677657,0.16774274962849378,0.1621519928583095,-0.49162521016260075,0.4158628969736653,-0.8485339951578121,352247.32,251251.9,0,1,0,1
2.9334409506911086,0.2231377671190864,0.11420132919717418,-0.27252913646334886,0.25219284870379766,-1.0344843965354622,351781.01,251256.5,0,1,0,1
3.074819386252904,0.2253150993625328,0.10476469208910433,-0.22642118994215732,0.21920791927995048,-1.0718942201748525,351681.89,251267.98,0,1,0,1
3.157332941210975,0.22437784428021557,0.09304444519992328,-0.19602492125751225,0.19315294151468615,-1.0497220576627595,351598.6,251274.79,0,1,0,1
3.087128546461897,0.22614483618539838,0.09857116386203502,-0.20925662491007646,0.20591692317516563,-1.0632160928815622,351676.47,251329.59,0,1,0,1
2.196330898556439,0.16513067370668222,0.15898695721702505,-0.4834374389505798,0.4121174514112754,-0.8589346756870889,352168.6,251329.59,0,1,0,1
2.9588685021640577,0.23017718820574085,0.1121067178544779,-0.2589431985151568,0.24146405271275045,-1.0486192452528866,351774.9,251329.59,0,1,0,1
2.379040409825876,0.1892604802789859,0.1392228196251486,-0.4187651173242998,0.3649659972182957,-0.9096426174201039,352070.17,251329.59,0,1,0,1
2.7711713926570134,0.22542966416139198,0.12722199817002022,-0.3158794094891808,0.2779097589681334,-1.0038811568472985,351873.32,251329.59,0,1,0,1
2.629449203814411,0.2196097870462861,0.13929970052318907,-0.3754857949783351,0.3207773953923213,-0.9767022043002299,351971.75,251329.59,0,1,0,1
3.1579321473668918,0.22432295625441334,0.09301009474717725,-0.19592060696696678,0.19303312574511866,-1.0494939522699287,351578.17,251329.72,0,1,0,1
1.908433329744354,0.16371178930764496,0.1647099543556223,-0.5230895237359557,0.4480644894394502,-0.8257909779860307,352266.8,251329.81,0,1,0,1
3.0666833828215525,0.22316621002012904,0.0908527852487453,-0.20742238474436492,0.20203361506556833,-0.9968718281959278,351482.01,251336.79,0,1,0,1
1.6265644727138815,0.1663559583443468,0.1609504549107026,-0.5359686108177573,0.4685724090580663,-0.7854920730924025,352346.94,251349.17,0,1,0,1
2.903627113474057,0.2147326697654226,0.08704593479538292,-0.23098585223130264,0.22114308908230285,-0.9174318585069884,351387.42,251351.59,0,1,0,1
2.826102245967383,0.21171111236413664,0.08200685644407235,-0.23347558909704924,0.2224637532507599,-0.8414898683097666,351313.37,251367.71,0,1,0,1
2.9641068511930833,0.21937175534632192,0.08963641134616562,-0.22633511297960374,0.20839871510429003,-0.9234654498952933,351381.2,251428.01,0,1,0,1
1.7075542114665523,0.1670472107757377,0.16510834322099055,-0.5348833204184211,0.4654143326472533,-0.8065533237076685,352267.02,251428.01,0,1,0,1
3.148552441634825,0.2278162184734447,0.09715029203172953,-0.20620950391767634,0.19370770405750698,-1.0377705833621653,351578.05,251428.01,0,1,0,1
2.2641193915833173,0.18929509050573223,0.14208974208214165,-0.4308190596773781,0.37170955639058145,-0.8811634679342251,352070.17,251428.01,0,1,0,1
2.768550759709004,0.22520509479951611,0.12699669184799367,-0.3153729759290098,0.27772905197565606,-1.0030954010116107,351873.32,251428.01,0,1,0,1
2.1062728421926966,0.15856401129442332,0.16082899927928884,-0.4964095731433438,0.421940469311331,-0.84616419182218,352168.6,251428.01,0,1,0,1
2.4799746557283067,0.21630405630082805,0.13503168050749248,-0.38017287126967036,0.3355325958304715,-0.9566589576833279,351971.75,251428.01,0,1,0,1
